year,doy,doy_cont,time,Mdate,dnr,dng,dnb,dnr_sd,dng_sd,dnb_sd,gcc
2020,263,263,1330,681268,154.999,130.038,82.9415,22.2196,21.7129,16.5336,0.353384777
2020,263,263,1400,681268,149.939,126.748,82.3372,22.6179,21.6622,16.1913,0.353034698
2020,263,263,1430,681268,145.941,122.618,80.404,23.9226,22.4007,16.6069,0.351378226
2020,263,263,1500,681268,133.998,114.778,83.0666,24.9075,22.8676,17.6499,0.345880848
2020,263,263,1530,681268,118.413,104.512,83.7962,24.9987,22.7785,18.566,0.340739408
2020,264,264,900,681268,163.525,135.35,85.0977,19.7686,19.216,14.3801,0.352499019
2020,264,264,1030,681268,160.44,135.287,90.3661,18.7596,18.7664,14.6729,0.350399942
2020,264,264,1100,681268,159.591,135.195,91.1791,19.1673,19.033,14.9754,0.350277784
2020,264,264,1130,681268,156.428,133.235,92.8007,19.5465,19.2769,15.2799,0.348359857
2020,264,264,1200,681268,154.114,131.721,92.7075,20.2381,19.809,15.8544,0.347968854
2020,264,264,1230,681268,146.584,128.284,97.6832,21.1015,20.4265,16.9141,0.344339248
2020,264,264,1300,681268,142.467,126.511,98.8421,21.5043,20.6609,17.2681,0.343948033
2020,264,264,1330,681268,139.52,121.447,93.363,22.1911,20.9583,17.13,0.342751108
2020,264,264,1400,681268,131.095,118.219,94.7702,22.6618,21.291,17.6552,0.343575788
2020,264,264,1430,681268,121.837,111.375,93.0131,22.8104,21.0856,17.6292,0.341405367
2020,264,264,1500,681268,113.829,106.088,90.5401,23.0089,21.3477,18.0873,0.34171549
2020,264,264,1530,681268,104.301,98.2544,86.5287,22.4271,20.6718,17.7652,0.339881716
2020,265,265,900,681268,158.319,130.791,75.3766,23.6163,21.8414,14.7349,0.358836237
2020,265,265,1030,681268,157.37,133.689,81.7018,18.54,18.9153,14.7865,0.358645544
2020,265,265,1130,681268,156.509,134.002,86.687,19.9951,19.8652,15.389,0.355256391
2020,265,265,1200,681268,155.853,135.204,90.6202,19.7177,19.5053,15.2396,0.354236512
2020,265,265,1230,681268,150.405,130.463,95.405,21.3302,20.8504,17.039,0.34672432
2020,265,265,1300,681268,148.679,127.874,93.1028,21.5706,20.8847,16.8094,0.345927211
2020,265,265,1330,681268,142.489,124.75,96.0523,22.5521,21.5938,17.8157,0.34338835
2020,265,265,1400,681268,138.226,120.928,92.5105,23.3465,22.0569,18.0036,0.343873209
2020,265,265,1430,681268,142.025,119.243,81.9541,24.4044,22.6817,17.1913,0.347422267
2020,265,265,1500,681268,135.522,115.45,82.7611,25.4911,23.4546,17.9902,0.34593512
2020,265,265,1530,681268,131.03,109.217,76.818,26.6342,23.7688,17.7624,0.344462492
2020,266,266,900,681268,148.108,137.316,107.807,21.521,20.1876,16.9844,0.349199326
2020,266,266,1400,681268,137.977,129.99,110.393,24.8121,24.4247,21.6448,0.343561687
2020,266,266,1430,681268,134.24,125.867,106.634,26.4072,25.8702,22.7193,0.34320406
2020,266,266,1500,681268,135.502,126.534,106.915,26.4207,25.6409,22.1584,0.342956111
2020,266,266,1530,681268,133.868,121.997,97.5611,27.8527,26.5062,21.8788,0.345183901
2020,267,267,1030,681268,142.879,136.833,118.578,19.308,18.9958,17.2313,0.343551181
2020,267,267,1330,681268,139.733,131.877,110.784,23.219,23.0157,20.3542,0.344872043
2020,267,267,1430,681268,135.643,127.51,107.679,26.037,25.5402,22.2594,0.343848427
2020,267,267,1500,681268,135.57,125.675,103.971,27.2972,26.4422,22.7058,0.34411143
2020,267,267,1530,681268,135.604,121.94,93.9758,28.8334,27.4792,22.2167,0.346893688
2020,268,268,900,681268,147.165,137.074,108.251,22.9176,21.3959,17.8931,0.349242019
2020,268,268,1430,707119,131.973,123.029,104.345,26.568,25.7753,22.4481,0.34236824
2020,268,268,1530,707119,131.519,120.634,99.9162,27.1988,25.7407,21.4112,0.342642867
2020,269,269,900,707119,156.595,137.311,86.3947,23.021,21.5336,15.5085,0.361059025
2020,269,269,930,707119,151.128,134.241,92.1339,18.1271,17.6723,14.0205,0.355602566
