year,doy,time,Mdate,dnr,dng,dnb,dnr_sd,dng_sd,dnb_sd,gcc
2020,256,1400,54194,86.3925,83.4871,63.5697,10.7681,9.80929,10.1052,0.357624117956233
2020,256,1430,54194,83.0559,80.9562,62.5991,10.3897,9.55388,9.75642,0.357247126355626
2020,256,1500,54194,79.5412,78.2513,60.7054,10.15,9.23054,9.73152,0.358132961460957
2020,256,1530,54194,74.1855,74.3405,58.0703,9.80725,8.82042,9.55896,0.3598346146567
2020,257,900,54194,90.3332,84.7945,63.8354,11.1945,9.26372,9.46932,0.354843488387956
2020,257,930,54194,93.7269,87.7874,64.5292,11.388,9.56703,9.86285,0.35679625757234
2020,257,1000,54194,113.553,107.243,80.1725,12.438,10.5177,10.7899,0.356326326509253
2020,257,1030,54194,97.441,91.0768,66.045,11.8092,10.1773,11.2205,0.357777334315933
2020,257,1100,54194,96.7726,91.0149,67.3513,11.2387,10.1403,11.2352,0.356727005065478
2020,257,1130,54194,95.4367,90.7693,65.6277,11.3376,10.3637,11.4465,0.360433492419799
2020,257,1200,54194,96.1951,91.0104,66.4805,11.4272,10.4561,11.3456,0.358752158179797
2020,257,1230,54194,96.7222,90.0772,62.8557,11.4021,10.3882,11.0969,0.360806568742237
2020,257,1300,54194,97.0924,89.7575,60.9407,11.5582,10.5161,10.9802,0.362231254938646
2020,257,1330,54194,95.2359,88.0382,60.9892,11.4711,10.2823,10.9884,0.360423362822004
2020,257,1400,54194,91.7723,85.8513,59.5279,11.3263,10.3713,10.9003,0.362010360465778
2020,257,1430,54194,86.09,82.1498,58.6782,11.0666,10.1376,11.0555,0.362024167320354
2020,257,1500,54194,81.3961,78.4245,57.7122,10.6083,9.72299,10.5344,0.36051804601421
2020,257,1530,54194,76.2852,74.3893,55.3972,10.2606,9.46438,10.2512,0.360987462130899
2020,258,900,54194,92.2905,89.1318,70.1876,10.2271,8.37076,8.78165,0.354245997474662
2020,258,1000,54194,110.316,98.1391,64.6688,12.0388,9.71777,9.55093,0.359320806417893
2020,258,1030,54194,110.483,98.4477,62.5705,12.052,9.83442,9.62715,0.362605027160101
2020,258,1130,54194,105.22,96.6527,64.2543,11.6864,10.2419,10.6672,0.363182615818763
2020,258,1200,54194,104.062,97.4285,69.1669,11.645,10.4083,11.4408,0.359969836405729
2020,258,1230,54194,104.058,95.3947,64.5027,11.4864,10.2531,11.0023,0.361404616082869
2020,258,1300,54194,105.421,94.686,61.541,11.8435,10.4939,10.7904,0.361883140708127
2020,258,1330,54194,102.824,93.1767,61.9972,11.5691,10.3847,11.0268,0.36115293961695
2020,258,1400,54194,99.8002,90.5082,61.2647,11.4547,10.2838,10.8196,0.359768989609779
2020,258,1430,54194,97.0238,88.6443,60.1973,11.5726,10.2864,11.0438,0.360539953974817
2020,258,1500,54194,90.322,84.5998,59.706,11.1434,10.009,10.642,0.360570230808114
2020,258,1530,54194,82.3333,78.7129,58.0051,10.7732,9.70677,10.4149,0.359335461601917
2020,259,900,54194,113.306,93.9685,53.1762,13.4626,10.1589,8.93474,0.360791888829633
2020,259,930,54194,118.987,96.9349,51.5814,13.1314,10.0761,8.86487,0.362368987597536
2020,259,1100,54194,117.833,97.9034,50.1598,12.9813,10.7756,9.31376,0.368201576404627
2020,259,1130,54194,117.396,97.6356,51.2152,12.8039,10.7896,9.62757,0.366710886290464
2020,259,1200,54194,114.502,97.0712,54.769,12.5394,10.8575,10.4599,0.364460457261373
2020,259,1230,54194,107.851,95.7556,58.8979,12.1037,10.9405,11.2472,0.364776984775499
2020,259,1300,54194,107.148,94.2423,57.2326,12.1907,10.7887,10.9906,0.364400445590858
2020,259,1330,54194,108.167,93.4168,55.997,12.3416,10.9212,10.9431,0.36266988843889
2020,259,1400,54194,101.178,89.9544,57.25,11.995,10.6383,11.1321,0.362160926055952
2020,259,1430,54194,97.0773,86.7399,55.7394,12.0731,10.5191,11.2599,0.362085202411455
2020,259,1500,54194,91.0148,82.6135,56.92,11.5238,10.1161,10.9738,0.358334891213685
2020,259,1530,54194,82.2315,78.5545,56.6111,10.919,9.92873,10.8369,0.361341066647163
2020,260,900,54194,94.2362,84.2835,56.7597,11.322,9.41589,10.0775,0.358227282116496
